CENTRO,AÑO,MES,INCIDENTE_POLICIAL,INCIDENTE_TRÁNSITO,INCIDENTE_SALUD,INCIDENTE_SERVICIOS_MUNICIPALES,INCIDENTE_BOMBEROS,INCIDENTE_GESTIÓN_DE_RIESGO,INCIDENTE_MILITAR,TOTAL_DE_INCIDENTES_RECEPTADOS,INCIDENTE_CLAVES_ROJAS,DE_LLAMADAS_MALINTENCIONADAS_O_INDEBIDAS,CANTIDAD_DE_TELEFONOS_ENVIADOS_A_SANCIÓN,DE_LLAMADAS_GENERADAS_POR_LOS_TELEFONOS_SANCIONADOS,DE_LLAMADAS_NORMALES,TOTAL_DE_LLAMADAS_RECIBIDAS
SAMBORONDÓN,2012,FEBRERO, 17.684 , 2.602 , 2.762 , 3.439 , 690 , 327 , 3 , 27.507 , 13.920 , 116.863 , 578 , 15.762 , 29.609 , 349.355 
SAMBORONDÓN,2012,MARZO, 21.836 , 2.945 , 3.568 , 3.171 , 700 , 219 , 18 , 32.457 , 16.425 , 74.615 , 631 , 16.405 , 34.353 , 375.656 
SAMBORONDÓN,2012,ABRIL, 20.856 , 3.161 , 3.114 , 2.541 , 730 , 34 , 53 , 30.489 , 15.429 , 312.842 , 2.922 , 85.093 , 33.360 , 412.333 
SAMBORONDÓN,2012,MAYO, 24.164 , 3.736 , 2.836 , 2.213 , 610 , 15 , 15 , 33.589 , 16.997 , 360.485 , 3.362 , 89.715 , 40.473 , 429.378 
SAMBORONDÓN,2012,JUNIO, 23.639 , 3.819 , 2.598 , 1.148 , 611 , 10 , 12 , 31.837 , 16.111 , 355.838 , 3.258 , 84.625 , 37.254 , 418.794 
SAMBORONDÓN,2012,JULIO, 25.994 , 4.800 , 2.648 , 1.379 , 921 , 7 , 13 , 35.762 , 18.097 , 390.133 , 18.324 , 172.417 , 42.981 , 453.890 
SAMBORONDÓN,2012,AGOSTO, 23.662 , 3.128 , 2.313 , 767 , 1.075 , 1 , 25 , 30.971 , 15.673 , 351.363 , 16.762 , 153.684 , 37.170 , 410.744 
SAMBORONDÓN,2012,SEPTIEMBRE, 21.233 , 3.399 , 1.993 , 562 , 1.188 , 5 , 14 , 28.394 , 14.368 , 340.861 , 15.756 , 145.163 , 34.499 , 402.063 
SAMBORONDÓN,2012,OCTUBRE, 19.950 , 3.754 , 2.421 , 701 , 1.340 , 3 , 6 , 28.175 , 14.258 , 353.859 , 14.705 , 122.895 , 33.802 , 415.374 
SAMBORONDÓN,2012,NOVIEMBRE, 20.685 , 3.410 , 2.289 , 803 , 1.465 , 2 , 4 , 28.658 , 14.502 , 345.327 , 14.112 , 118.931 , 34.762 , 409.200 
