"CENTRO","ANIO","MES","INCIDENTE_POLICIAL","INCIDENTE_TRANSITO","INCIDENTE_SALUD","INCIDENTE_SERVICIOS_MUNICIPALES","INCIDENTE_BOMBEROS","INCIDENTE_GESTION_DE_RIESGO","INCIDENTE_MILITAR","TOTAL_DE_INCIDENTES_RECEPTADOS","INCIDENTE_CLAVES_ROJAS","DE_LLAMADAS_MALINTENCIONADAS_O_INDEBIDAS","DE_LLAMADAS_NORMALES","TOTAL_DE_LLAMADAS_RECIBIDAS"
"SAMBORONDÓN",2015,"ENERO",52232,Medio,7325,10,1557,530,3120,66147,37553,221457,74557,371345
"SAMBORONDÓN",2015,"FEBRERO",51227,Muy Bajo,7106,1613,1108,610,3610,66196,35933,204922,72995,34344
"SAMBORONDÓN",2015,"MARZO",53799,Muy Bajo,7837,2613,1097,1890,3950,7101,37889,23843,79275,39242
"SAMBORONDÓN",2015,"ABRIL",49088,Medio,7877,2768,1026,2340,3200,6631,36588,218892,7356,376285
"SAMBORONDÓN",2015,"MAYO",54373,Medio,923,2484,8780,1030,3050,72796,40511,224223,80942,386906
"SAMBORONDÓN",2015,"JUNIO",52309,Medio,8454,1579,8820,90,1860,68311,38911,202996,7568,352667
"SAMBORONDÓN",2015,"JULIO",51405,Medio,8984,1297,1214,160,1980,67506,38625,20532,67506,356723
"SAMBORONDÓN",2015,"AGOSTO",53689,Medio,8847,1071,1294,100,1990,69814,38789,205175,78662,354982
"SAMBORONDÓN",2015,"SEPTIEMBRE",51275,Medio,853,1088,1424,150,2730,66894,38135,192778,7649,336404
"SAMBORONDÓN",2015,"OCTUBRE",52123,Medio,8667,1172,1455,70,2400,6825,38401,187328,780,328979
"SAMBORONDÓN",2015,"NOVIEMBRE",54312,Muy Bajo,8643,1112,1505,170,2190,70128,38162,175144,79692,313004
"SAMBORONDÓN",2015,"DICIEMBRE",59331,Medio,1047,1811,1819,70,2480,79052,42647,182846,85858,331991
"QUITO",2015,"ENERO",34015,Alto,7983,1442,1423,2080,4630,52831,27361,146346,61344,2612
"QUITO",2015,"FEBRERO",32832,Alto,7756,1748,1115,2720,1850,50605,25959,139723,59792,246793
"QUITO",2015,"MARZO",36291,Alto,8881,1791,1255,4080,1000,56257,28067,141092,66483,263035
"QUITO",2015,"ABRIL",3611,Alto,8036,1829,1201,3950,950,54937,26744,133252,64115,25735
"QUITO",2015,"MAYO",38381,Alto,9046,1502,1197,2690,1020,58281,30063,154387,68053,28324
"QUITO",2015,"JUNIO",35564,Alto,8293,2316,1865,3360,990,5574,29175,146817,65773,275925
"QUITO",2015,"JULIO",34819,Alto,8724,1758,23,2630,1470,54674,28985,155418,54674,295838
"QUITO",2015,"AGOSTO",3582,Muy Bajo,9365,1455,3838,3190,1150,56932,3105,138958,67349,280217
"QUITO",2015,"SEPTIEMBRE",34515,Alto,7876,1734,4482,2710,1480,55668,30396,129501,66304,259358
"QUITO",2015,"OCTUBRE",37203,Alto,8578,1758,1768,4070,1540,57439,30076,140447,66876,259484
"QUITO",2015,"NOVIEMBRE",35494,Alto,8507,195,1005,3420,2240,54065,28759,132335,63515,246525
"QUITO",2015,"DICIEMBRE",40815,Alto,9253,1998,1486,2460,2500,61932,32264,14169,7322,270127
"CUENCA",2015,"ENERO",9979,Muy Bajo,2765,4070,4420,720,2020,16277,7703,38075,19834,75422
"CUENCA",2015,"FEBRERO",9832,Bajo,2499,3540,4340,220,920,155,7725,35153,18712,70483
"CUENCA",2015,"MARZO",9856,Bajo,272,3840,3790,670,1480,16029,776,41553,19427,78033
"CUENCA",2015,"ABRIL",10006,Bajo,2568,4850,3210,180,1110,15934,7719,40451,19356,77257
"CUENCA",2015,"MAYO",10706,Bajo,2751,4890,2890,60,1690,17014,8129,41983,20109,8034
"CUENCA",2015,"JUNIO",9572,Bajo,2509,4640,3150,150,1600,15462,7257,41688,17901,75449
"CUENCA",2015,"JULIO",9859,Bajo,2599,4130,3600,130,1800,15875,7278,42872,15875,79061
"CUENCA",2015,"AGOSTO",9926,Bajo,262,4950,6060,20,1540,15995,7673,42535,1872,81798
"CUENCA",2015,"SEPTIEMBRE",10118,Bajo,2694,5440,1155,50,1620,17229,8529,40779,20673,81347
"CUENCA",2015,"OCTUBRE",10521,Bajo,2889,6680,5900,90,1730,17609,8399,3487,20814,76009
"CUENCA",2015,"NOVIEMBRE",10729,Bajo,2735,5750,4650,140,2560,17323,8407,28657,2039,716
"CUENCA",2015,"DICIEMBRE",11796,Bajo,2854,5800,6700,20,2360,1889,9032,28958,22388,75227
"AMBATO",2015,"ENERO",11314,Muy Bajo,2746,1960,3450,400,970,16496,7972,3174,17727,85188
"AMBATO",2015,"FEBRERO",11257,Bajo,2508,1940,3180,180,800,16682,7967,2721,18167,84964
"AMBATO",2015,"MARZO",12315,Bajo,2715,3090,5140,390,960,18361,9039,3277,19994,97555
"AMBATO",2015,"ABRIL",11897,Bajo,2682,2200,2780,570,1040,17604,8553,46568,20042,96924
"AMBATO",2015,"MAYO",12627,Bajo,2837,2170,3330,340,670,18488,9158,48246,21021,99841
"AMBATO",2015,"JUNIO",11037,Bajo,2864,2070,2950,880,750,1683,8363,43822,18996,96344
"AMBATO",2015,"JULIO",12656,Bajo,3223,2340,3790,870,800,18917,6727,55935,18917,115595
"AMBATO",2015,"AGOSTO",11985,Muy Bajo,2928,2120,4470,560,530,17683,6495,47682,20155,110202
"AMBATO",2015,"SEPTIEMBRE",11999,Muy Bajo,295,2530,8270,360,1170,18005,6577,4294,19861,91513
"AMBATO",2015,"OCTUBRE",12187,Muy Bajo,3012,2920,4860,340,1230,18221,6294,42376,20712,93584
"AMBATO",2015,"NOVIEMBRE",12093,Muy Bajo,2984,3180,3790,420,1520,17873,6332,39779,20401,88433
"AMBATO",2015,"DICIEMBRE",13533,Muy Bajo,3151,2620,4450,160,1130,19475,6698,42802,22304,92926
"AMBATO",20160,"ENERO",1401,Muy Bajo,324,2900,5730,280,1370,19355,7851,38751,22184,87406
"AMBATO",20160,"FEBRERO",13092,Muy Bajo,2978,3180,3680,430,1110,17989,6073,37378,20735,82416
"MACHALA",2015,"ENERO",8088,Muy Alto,1234,00,1920,190,1420,10517,5629,25383,12703,5357
"MACHALA",2015,"FEBRERO",7237,Alto,1245,00,1720,330,1230,9476,5409,28178,1102,56586
"MACHALA",2015,"MARZO",737,Alto,1185,940,2010,1220,1750,9897,5742,33799,11543,63637
"MACHALA",2015,"ABRIL",6916,Alto,1091,630,1600,1080,1550,9169,5181,31341,10707,59703
"MACHALA",2015,"MAYO",7645,Alto,1184,1650,1660,490,1770,10156,5839,31052,11855,60127
"MACHALA",2015,"JUNIO",7033,Alto,1256,1390,1440,30,2430,9558,5436,27836,10983,55056
"MACHALA",2015,"JULIO",6849,Medio,1465,1200,1710,60,2570,9427,3362,32165,9427,71144
"MACHALA",2015,"AGOSTO",7395,Alto,1337,820,1850,30,3310,9997,3452,35578,1152,6497
"MACHALA",2015,"SEPTIEMBRE",7511,Medio,135,950,3100,30,2970,10132,3497,32761,117,62073
"MACHALA",2015,"OCTUBRE",7427,Alto,132,1370,2210,10,3090,10054,3467,42376,20712,93584
"MACHALA",2015,"NOVIEMBRE",7303,Alto,1407,1210,2260,20,2780,9987,3592,3104,11458,60758
"MACHALA",2015,"DICIEMBRE",8035,Alto,1469,1460,2560,110,2470,10929,3854,31631,12831,63873
"PORTOVIEJO",2015,"ENERO",8551,Muy Bajo,1879,5670,4250,200,80,12618,6429,64182,15165,103943
"PORTOVIEJO",2015,"FEBRERO",8545,Muy Bajo,1826,360,3280,6560,1400,12917,6326,60009,15334,99424
"PORTOVIEJO",2015,"MARZO",9162,Muy Bajo,203,6810,3510,280,2020,13738,6735,72433,16223,114323
"PORTOVIEJO",2015,"ABRIL",8951,Muy Bajo,2213,4550,3050,270,1970,13452,6896,72505,15551,113645
"PORTOVIEJO",2015,"MAYO",9214,Muy Bajo,2496,4330,3490,280,1890,14192,7368,65722,16595,106941
"PORTOVIEJO",2015,"JUNIO",9297,Muy Bajo,1995,3170,3370,50,1410,134,688,59342,15739,97724
