"CENTRO","ANIO","MES","INCIDENTE_POLICIAL_(TOTAL)","INCIDENTE_TRANSITO_(TOTAL)","INCIDENTE_SALUD_(TOTAL)","INCIDENTE_SERVICIOS_MUNICIPALES_(TOTAL)","INCIDENTE_BOMBEROS_(TOTAL)","INCIDENTE_GESTION_DE_RIESGO_(TOTAL)","INCIDENTE_MILITAR_(TOTAL)","TOTAL_DE_INCIDENTES_RECEPTADOS","INCIDENTE_CLAVES_ROJAS_(TOTAL)","DE_LLAMADAS_MALINTENCIONADAS_O_INDEBIDAS_(TOTAL)","DE_LLAMADAS_NORMALES_(TOTAL)","TOTAL_DE_LLAMADAS_RECIBIDAS_(TOTAL)"
"SAMBORONDÓN",2016,"ENERO",5707,Muy Bajo,942,2401,1173,880,2720,74724,4645,180041,85123,340562
"SAMBORONDÓN",2016,"FEBRERO",53836,Bajo,9619,1976,9360,650,2640,70531,37983,176844,80248,319729
"QUITO",2016,"ENERO",35925,6416,Muy Alto,2224,1346,3430,2200,55401,34774,13936,65116,255145
"QUITO",2016,"FEBRERO",36096,Alto,845,1869,1279,3060,1760,54339,28276,121484,6077,229447
"CUENCA",2016,"ENERO",1121,Bajo,289,6900,7920,210,2560,18406,11497,26481,22362,7221
"CUENCA",2016,"FEBRERO",11278,Bajo,2864,6150,3810,110,2620,17879,8708,22814,21752,64419
"AMBATO",2016,"ENERO",1401,Muy Bajo,324,2900,5730,280,1370,19355,7851,38751,22184,87406
"AMBATO",2016,"FEBRERO",13092,Muy Bajo,2978,3180,3680,430,1110,17989,6073,37378,20735,82416
"MACHALA",2016,"ENERO",7149,Alto,1443,2330,1450,220,3010,9921,4311,30459,11631,61383
"MACHALA",2016,"FEBRERO",69,Alto,1242,6770,1940,250,3540,10039,3208,29764,11827,61323
"PORTOVIEJO",2016,"ENERO",9803,Muy Alto,2181,6580,3820,980,2090,14233,8208,57966,16033,98037
"PORTOVIEJO",2016,"FEBRERO",9422,Alto,2214,4510,2390,340,2450,13406,6575,56938,14904,94774
"BABAHOYO",2016,"ENERO",10745,Bajo,3095,1777,2670,170,630,1629,10523,5991,19838,95392
"BABAHOYO",2016,"FEBRERO",10057,Bajo,3041,1638,2060,270,980,15422,7822,56952,18466,9036
"ESMERALDAS",2016,"ENERO",6048,Bajo,9470,1470,3030,890,3130,8241,4818,34767,9188,57918
"ESMERALDAS",2016,"FEBRERO",558,Bajo,1014,1110,950,270,3030,7486,392,30991,8245,50872
"SANTO DOMINGO",2016,"ENERO",8651,Bajo,1753,2600,1970,350,1110,1136,5793,23271,12574,52819
"SANTO DOMINGO",2016,"FEBRERO",8621,Bajo,163,2260,1300,100,870,11015,4699,21296,12164,47453
"RIOBAMBA",2016,"ENERO",4463,Alto,1271,1140,2830,140,390,6843,4142,23271,12574,52819
"RIOBAMBA",2016,"FEBRERO",4139,Alto,1336,1100,1780,100,370,6483,3687,16902,7174,36247
"IBARRA",2016,"ENERO",491,Alto,1772,2680,2900,150,430,801,4753,20424,8845,40273
"IBARRA",2016,"FEBRERO",4823,Alto,1703,3030,2580,10,340,7776,4198,18468,8492,37542
"LOJA",2016,"ENERO",4379,Muy Alto,1713,2320,3050,160,2150,7685,4595,21065,8435,55154
"LOJA",2016,"FEBRERO",381,Muy Alto,1713,1870,1640,100,2160,6959,376,19666,7586,50251
"NUEVA LOJA",2016,"ENERO",2124,Bajo,6750,350,810,20,4170,3584,1898,9994,378,20517
"NUEVA LOJA",2016,"FEBRERO",1808,Muy Bajo,5840,230,500,10,4380,3118,135,9251,3302,18846
"TULC�?N",2016,"ENERO",1684,Muy Bajo,7980,1140,1830,60,1690,3138,1375,9388,3298,19175
"TULC�?N",2016,"FEBRERO",1466,Muy Bajo,6260,930,1340,10,1490,2631,1093,8313,2741,16684
"SAN CRISTÓBAL",2016,"ENERO",4120,Muy Bajo,1030,440,50,50,50,5870,3470,7970,6400,238
"SAN CRISTÓBAL",2016,"FEBRERO",3660,Muy Bajo,860,400,100,4267089485981308,160,5470,2810,6890,6140,2168
