CENTRO,AÑO,MES,INCIDENTE_POLICIAL,INCIDENTE_TRÁNSITO,INCIDENTE_SALUD,INCIDENTE_SERVICIOS_MUNICIPALES,INCIDENTE_BOMBEROS,INCIDENTE_GESTIÓN_DE_RIESGO,INCIDENTE_MILITAR,TOTAL_DE_INCIDENTES_RECEPTADOS,INCIDENTE_CLAVES_ROJAS,DE_LLAMADAS_MALINTENCIONADAS_O_INDEBIDAS,CANTIDAD_DE_TELEFONOS_ENVIADOS_A_SANCIÓN,DE_LLAMADAS_GENERADAS_POR_LOS_TELEFONOS_SANCIONADOS,DE_LLAMADAS_NORMALES,TOTAL_DE_LLAMADAS_RECIBIDAS
SAMBORONDÓN,2012,2,17684,2602,2762,3439,690,327,3,27507,13920,116863,578,15762,29609,349355
SAMBORONDÓN,2012,3,21836,2945,3568,3171,700,219,18,32457,16425,74615,631,16405,34353,375656
SAMBORONDÓN,2012,4,20856,3161,3114,2541,730,34,53,30489,15429,312842,2922,85093,33360,412333
SAMBORONDÓN,2012,5,24164,3736,2836,2213,610,15,15,33589,16997,360485,3362,89715,40473,429378
SAMBORONDÓN,2012,5,23639,3819,2598,1148,611,10,12,31837,16111,355838,3258,84625,37254,418794
SAMBORONDÓN,2012,7,25994,4800,2648,1379,921,7,13,35762,18097,390133,18324,172417,42981,453890
SAMBORONDÓN,2012,8,23662,3128,2313,767,1075,1,25,30971,15673,351363,16762,153684,37170,410744
SAMBORONDÓN,2012,9,21233,3399,1993,562,1188,5,14,28394,14368,340861,15756,145163,34499,402063
SAMBORONDÓN,2012,10,19950,3754,2421,701,1340,3,6,28175,14258,353859,14705,122895,33802,415374
SAMBORONDÓN,2012,11,20685,3410,2289,803,1465,2,4,28658,14502,345327,14112,118931,34762,409200
SAMBORONDÓN,2012,12,25570,4604,3100,2066,1518,7,7,36872,18659,330903,14112,109746,43298,407238
SAMBORONDÓN,2013,1,37598,3234,2302,2285,644,12,16,46091,21866,395192,17156,141747,52813,497490
SAMBORONDÓN,2013,2,37623,3660,2674,2201,489,45,42,46734,21817,374039,18364,173892,54074,474771
SAMBORONDÓN,2013,3,42649,3840,3653,4144,619,480,46,55431,26217,387290,18828,185052,66318,498770
SAMBORONDÓN,2013,4,40124,3552,3637,2673,661,29,22,50698,24772,383076,18652,182883,60978,486169
SAMBORONDÓN,2013,5,40168,3834,3928,1669,824,6,24,50453,25906,359244,17221,158775,60049,461482
SAMBORONDÓN,2013,5,40253,3748,3850,1089,764,2,6,49712,26426,299728,14189,128403,59611,401490
SAMBORONDÓN,2013,7,36345,3667,4364,983,941,5,30,46335,25338,263493,11154,105187,54976,360003
SAMBORONDÓN,2013,8,34370,3628,5165,1114,1357,14,22,45670,26465,237283,8044,84023,54973,333720
SAMBORONDÓN,2013,9,37540,3749,5235,1437,1469,16,12,49458,26519,231553,9194,97486,60298,332759
SAMBORONDÓN,2013,10,35998,3789,5256,1069,1378,13,14,47517,25683,240681,9977,100666,57907,340345
SAMBORONDÓN,2013,11,37178,3619,5769,688,1300,6,14,48574,27129,237482,9682,97724,59869,343721
SAMBORONDÓN,2013,12,45080,4628,5870,619,1712,10,16,57935,31771,273489,11246,113551,74622,385203
SAMBORONDÓN,2014,1,42914,3790,6222,,1007,114,26,54073,31154,307307,12978,138496,66108,429892
SAMBORONDÓN,2014,2,41736,3505,6161,,635,51,22,52110,29332,282930,11970,127736,60101,398882
SAMBORONDÓN,2014,3,50254,3828,6559,,835,61,47,61584,33920,306456,,,71940,432940
SAMBORONDÓN,2014,4,44752,3424,6170,,741,25,37,55149,29939,270986,,,63224,398409
SAMBORONDÓN,2014,5,43184,3730,6637,,789,255,17,54612,31082,154061,,,63064,331717
SAMBORONDÓN,2014,5,41602,3097,6560,,773,9,16,52057,30544,120900,,,59487,271335
SAMBORONDÓN,2014,7,42966,3732,6710,,1080,27,37,54552,30787,192447,,,61627,316707
SAMBORONDÓN,2014,8,49576,4216,7245,,1497,18,31,62583,33558,202797,,,69963,331300
SAMBORONDÓN,2014,9,46842,3991,7231,,1571,20,25,59680,32692,154283,,,67057,271298
SAMBORONDÓN,2014,10,48194,4010,7115,,1421,13,135,60888,33612,223961,,,68458,358511
SAMBORONDÓN,2014,11,50104,4341,7058,,1473,9,208,63193,35244,203672,,,72197,336651
SAMBORONDÓN,2014,12,55340,4849,7195,,1796,19,215,69414,38527,203672,,,79799,344253
SAMBORONDÓN,2015,1,52232,4667,7325,1,1557,53,312,66147,37553,221457,,,74557,371345
SAMBORONDÓN,2015,2,51227,4720,7106,1613,1108,61,361,66196,35933,204922,,,72995,343440
SAMBORONDÓN,2015,3,53799,5080,7837,2613,1097,189,395,71010,37889,238430,,,79275,392420
SAMBORONDÓN,2015,4,49088,4997,7877,2768,1026,234,320,66310,36588,218892,,,73560,376285
SAMBORONDÓN,2015,5,54373,5423,9230,2484,878,103,305,72796,40511,224223,,,80942,386906
SAMBORONDÓN,2015,5,52309,4892,8454,1579,882,9,186,68311,38911,202996,,,75680,352667
SAMBORONDÓN,2015,7,51405,4392,8984,1297,1214,16,198,67506,38625,205320,,,67506,356723
SAMBORONDÓN,2015,8,53689,4704,8847,1071,1294,10,199,69814,38789,205175,,,78662,354982
SAMBORONDÓN,2015,9,51275,4289,8530,1088,1424,15,273,66894,38135,192778,,,76490,336404
SAMBORONDÓN,2015,10,52123,4586,8667,1172,1455,7,240,68250,38401,187328,,,78000,328979
SAMBORONDÓN,2015,11,54312,4320,8643,1112,1505,17,219,70128,38162,175144,,,79692,313004
SAMBORONDÓN,2015,12,59331,5366,10470,1811,1819,7,248,79052,42647,182846,,,85858,331991
SAMBORONDÓN,2016,1,57070,4300,9420,2401,1173,88,272,74724,46450,180041,,,85123,340562
SAMBORONDÓN,2016,2,53836,3835,9619,1976,936,65,264,70531,37983,176844,,,80248,319729
QUITO,2013,1,32924,4766,6288,525,1280,12,5,45800,14732,225020,10444,97969,51677,340008
QUITO,2013,2,27189,4016,4994,551,746,53,,37549,12082,218796,10618,96211,42001,311223
QUITO,2013,3,32707,4234,6380,738,959,144,5,45167,15556,226244,10602,94453,50922,334408
QUITO,2013,4,30122,4245,6445,1092,1086,154,34,43178,14380,222625,10287,10307,49876,269961
QUITO,2013,5,30269,4279,6761,1234,978,108,8,43637,14476,221099,1347,11093,43637,311533
QUITO,2013,5,31080,4080,6874,895,1354,28,12,44323,15360,200558,9038,78278,51059,301372
QUITO,2013,7,28608,3756,6583,943,2225,36,21,42172,15068,174604,7350,64489,48470,273159
QUITO,2013,8,29417,3754,7349,863,2735,25,34,44177,16890,159658,7104,67417,51946,262026
QUITO,2013,9,29947,4013,6866,874,2839,45,16,44600,16706,149620,5693,56271,52650,258579
